# timestamp tx ty tz qx qy qz qw
1654232877.76367927 -0.05610113 -0.04454705 0.02355541 -0.00000347 -0.00002002 0.00037636 0.99999993
1654232877.86421776 -0.05851521 -0.03842624 0.02696653 -0.00021031 0.00020842 0.00027724 0.99999992
1654232877.96472812 -0.05009009 -0.03269702 0.02563884 -0.00027239 -0.00113091 0.00035134 0.99999926
1654232878.06535959 -0.05156511 -0.03179211 0.03001644 -0.00045073 -0.00131311 0.00036722 0.99999897
1654232878.16605592 -0.04949729 -0.03094194 0.03142386 -0.00055623 -0.00073051 0.00014416 0.99999957
1654232878.26673603 -0.04776218 -0.03404519 0.02753916 -0.00044346 -0.00050689 0.00019954 0.99999975
1654232878.36728549 -0.04399698 -0.03319183 0.02313830 -0.00032259 -0.00020764 0.00025041 0.99999990
1654232878.46782017 -0.04730495 -0.03659637 0.02266718 0.00000712 -0.00004698 0.00025723 0.99999997
1654232878.56840777 -0.04627780 -0.03505578 0.02369677 -0.00010571 0.00006406 0.00015615 0.99999998
1654232878.66902828 -0.04062646 -0.03651878 0.02134319 -0.00017587 -0.00005363 0.00028103 0.99999994
1654232878.76948261 -0.03180200 -0.03956832 0.02025946 0.00006295 -0.00008056 0.00035352 0.99999993
1654232878.87004614 -0.03196676 -0.03800946 0.02417542 -0.00000297 0.00011396 0.00026450 0.99999996
1654232879.07107258 -0.03197419 -0.03414192 0.02483644 0.00013062 0.00006232 0.00014084 0.99999998
1654232879.17185116 -0.03151982 -0.02892595 0.02729622 -0.00028416 0.00018676 0.00000502 0.99999994
1654232879.27239656 -0.03714705 -0.02926554 0.02659943 0.00007677 0.00008929 0.00007522 0.99999999
1654232879.35297036 -0.03564401 -0.02866556 0.02871214 -0.00012158 0.00029115 -0.00000840 0.99999995
1654232879.45364261 -0.03435014 -0.02959222 0.02904812 -0.00029234 0.00025760 0.00001849 0.99999992
1654232879.55471706 -0.03341081 -0.02826106 0.02993546 -0.00004873 0.00031670 0.00008099 0.99999995
1654232879.65517783 -0.03296121 -0.03057641 0.02930733 -0.00037427 0.00018487 0.00003793 0.99999991
1654232879.75579834 -0.03172130 -0.03408902 0.02815953 -0.00031330 0.00003797 0.00015660 0.99999994
1654232879.85635114 -0.03200609 -0.03480441 0.02825465 -0.00019229 0.00016414 0.00020747 0.99999995
1654232879.95688915 -0.03079393 -0.03395241 0.02686335 -0.00009776 0.00009889 0.00029933 0.99999995
