# timestamp tx ty tz qx qy qz qw
1645870652.256016 -0.055174 -0.026037 0.034492 -0.000177 0.000405 0.000137 1.000000
1645870652.447177 -0.057106 -0.011579 0.043615 0.000806 0.000677 -0.000065 0.999999
1645870652.548010 -0.054333 -0.021773 0.034387 -0.000173 0.000117 0.000251 1.000000
1645870652.649204 -0.036343 -0.011423 0.033988 -0.000167 -0.000001 -0.000485 1.000000
1645870652.752168 -0.038043 -0.019608 0.028847 0.000316 -0.000282 0.000189 1.000000
1645870652.842769 -0.041519 -0.023520 0.028850 0.000510 -0.000148 0.000081 1.000000
1645870652.943512 -0.042015 -0.021351 0.034141 0.000150 -0.000009 0.000275 1.000000
1645870653.054404 -0.048426 -0.025913 0.038536 0.000248 0.000128 0.000137 1.000000
1645870653.145000 -0.052766 -0.034204 0.038852 0.000233 0.000121 0.000462 1.000000
1645870653.245726 -0.048871 -0.026531 0.041614 0.000522 0.000148 0.000195 1.000000
1645870653.356446 -0.052357 -0.033845 0.037071 -0.000154 0.000254 0.000514 1.000000
1645870653.457144 -0.053964 -0.031164 0.038500 0.000140 0.000191 0.000515 1.000000
1645870653.557710 -0.050163 -0.025443 0.040079 0.000324 0.000130 0.000537 1.000000
1645870653.648343 -0.047151 -0.028064 0.041148 0.000693 -0.000086 0.000780 0.999999
1645870653.751795 -0.045732 -0.022690 0.042895 0.000832 -0.000203 0.000905 0.999999
1645870653.852388 -0.041982 -0.019866 0.041738 0.001338 -0.000496 0.000812 0.999999
1645870653.872497 -0.041579 -0.023637 0.039041 0.001617 -0.000554 0.000900 0.999998
1645870654.053615 -0.042687 -0.033436 0.039108 0.001278 -0.000579 0.000648 0.999999
1645870654.164247 -0.041455 -0.039905 0.037226 0.001239 -0.000624 0.000985 0.999999
1645870654.244852 -0.043286 -0.034564 0.039501 0.001115 -0.000324 0.000573 0.999999
1645870654.345584 -0.046668 -0.033738 0.041071 0.000875 -0.000196 0.000979 0.999999
1645870654.446171 -0.045128 -0.032177 0.043005 0.000875 -0.000030 0.000583 0.999999
1645870654.546752 -0.043276 -0.028896 0.043072 0.000929 -0.000004 0.000698 0.999999
1645870654.647310 -0.041354 -0.031866 0.041233 0.001028 -0.000123 0.000489 0.999999
1645870654.747840 -0.041927 -0.025052 0.043525 0.000718 0.000083 0.000702 0.999999
1645870654.848413 -0.039323 -0.028495 0.039704 0.000748 -0.000029 0.000589 1.000000
1645870654.959118 -0.037004 -0.027931 0.040172 0.000306 0.000109 0.000252 1.000000
1645870655.049755 -0.036290 -0.023116 0.042948 0.000408 0.000243 0.000513 1.000000
1645870655.154087 -0.035233 -0.026652 0.044185 0.000356 0.000423 0.000637 1.000000
1645870655.244716 -0.033007 -0.026771 0.042803 0.000252 0.000345 0.000271 1.000000
1645870655.355536 -0.031127 -0.019219 0.042188 0.000377 0.000477 -0.000063 1.000000
1645870655.385751 -0.032752 -0.024584 0.040295 0.000121 0.000773 -0.000496 1.000000
1645870655.456130 -0.030464 -0.025521 0.041596 0.000140 0.001210 -0.001095 0.999999
1645870655.597076 -0.029590 -0.033158 0.042071 -0.000033 0.001706 -0.002145 0.999996
1645870655.748116 -0.032631 -0.033595 0.041462 -0.000322 0.001879 -0.002212 0.999996
1645870655.778322 -0.032919 -0.044396 0.037626 -0.000284 0.002040 -0.002617 0.999994
1645870655.851696 -0.028981 -0.040361 0.040679 0.000347 0.001864 -0.002069 0.999996
1645870655.952348 -0.017948 -0.024104 0.043727 0.001110 0.001558 -0.001767 0.999997
1645870656.143399 -0.008915 -0.015486 0.044051 0.000996 0.001380 -0.001142 0.999998
1645870656.254132 -0.013801 -0.020591 0.042715 0.000545 0.001586 -0.000643 0.999998
1645870656.284338 -0.014659 -0.023477 0.042653 0.000299 0.001685 -0.001023 0.999998
1645870656.344797 -0.019258 -0.034962 0.042876 0.000236 0.001623 -0.000716 0.999998
1645870656.445393 -0.019642 -0.034179 0.045614 0.000205 0.002056 -0.001018 0.999997
1645870656.556284 -0.016609 -0.040476 0.042102 -0.000135 0.002380 -0.001013 0.999997
1645870656.747523 -0.011778 -0.039487 0.041640 -0.000588 0.003130 -0.001966 0.999993
1645870656.851295 0.007579 -0.029418 0.035714 -0.000842 0.005495 -0.004012 0.999977
1645870656.881491 0.027010 -0.037795 0.034878 -0.001445 0.007779 -0.007386 0.999941
1645870656.951918 0.059837 -0.025504 0.043491 -0.001107 0.011254 -0.010393 0.999882
1645870657.052566 0.093102 -0.012931 0.037307 -0.000656 0.014922 -0.011908 0.999818
1645870657.153266 0.124853 -0.037271 0.030372 -0.001090 0.018764 -0.012488 0.999745
1645870657.253934 0.161761 -0.064602 0.022948 -0.002482 0.023084 -0.011498 0.999664
1645870657.354631 0.201661 -0.065886 0.032708 -0.003532 0.027902 -0.009499 0.999559
1645870657.455277 0.243822 -0.069560 0.024412 -0.002677 0.030674 -0.009803 0.999478
1645870657.556048 0.282133 -0.077334 0.022564 -0.004564 0.032945 -0.008146 0.999414
1645870657.656572 0.325256 -0.085860 0.002094 -0.004857 0.034758 -0.006139 0.999365
1645870657.747170 0.370670 -0.094411 0.006938 -0.008333 0.037260 -0.006630 0.999249
1645870657.847669 0.417366 -0.098261 -0.002717 -0.007266 0.036890 -0.005352 0.999279
1645870657.948315 0.472069 -0.099934 0.007776 -0.008739 0.038316 -0.007873 0.999196
1645870658.049129 0.519351 -0.094912 -0.000026 -0.007295 0.035482 -0.009418 0.999299
1645870658.153448 0.568212 -0.085364 -0.006754 -0.005910 0.033974 -0.011602 0.999338
1645870658.254115 0.615584 -0.067953 -0.004652 -0.006471 0.034762 -0.012670 0.999294
1645870658.354764 0.666706 -0.064522 0.008324 -0.007455 0.035697 -0.012964 0.999251
1645870658.495565 0.703022 -0.095004 0.004871 -0.009033 0.035215 -0.012542 0.999260
1645870658.555924 0.749585 -0.105451 -0.002414 -0.008059 0.036298 -0.009804 0.999260
1645870658.646570 0.786229 -0.121258 -0.025868 -0.006343 0.033188 -0.007581 0.999400
1645870658.757385 0.833896 -0.116964 -0.016508 -0.005970 0.033911 -0.005260 0.999393
1645870658.857955 0.885829 -0.126572 -0.027733 -0.007193 0.031280 -0.001581 0.999484
1645870658.948496 0.955058 -0.101003 -0.022421 -0.005709 0.030156 -0.000137 0.999529
1645870659.141861 1.006349 -0.109799 -0.019715 -0.005507 0.030431 0.004161 0.999513
1645870659.172099 1.070288 -0.099130 -0.026480 -0.005686 0.031460 0.005413 0.999474
1645870659.343333 1.120718 -0.122986 -0.041974 -0.005009 0.030339 0.007586 0.999498
1645870659.443991 1.182769 -0.133807 -0.046582 -0.006614 0.029948 0.007754 0.999499
1645870659.544738 1.249931 -0.135415 -0.054368 -0.005271 0.029379 0.007841 0.999524
1645870659.645414 1.328198 -0.125133 -0.050580 -0.007974 0.031380 0.006606 0.999454
1645870659.745944 1.395357 -0.136120 -0.050226 -0.007890 0.030259 0.006404 0.999490
1645870659.846582 1.464431 -0.148846 -0.049674 -0.008348 0.031979 0.005004 0.999441
1645870659.947304 1.535491 -0.141114 -0.059986 -0.007552 0.033200 0.004373 0.999411
1645870660.047809 1.606310 -0.136953 -0.081805 -0.006285 0.033574 0.002825 0.999412
1645870660.151745 1.679880 -0.130315 -0.095335 -0.006357 0.033066 0.000467 0.999433
1645870660.242189 1.757231 -0.121102 -0.103461 -0.006897 0.032314 -0.001524 0.999453
1645870660.352844 1.831111 -0.110500 -0.100605 -0.007357 0.032108 -0.003570 0.999451
1645870660.443570 1.914079 -0.094744 -0.095083 -0.007681 0.031685 -0.005620 0.999453
1645870660.554367 1.990836 -0.097887 -0.092653 -0.008829 0.030888 -0.007696 0.999454
1645870660.644875 2.065871 -0.094302 -0.102948 -0.009643 0.030531 -0.009306 0.999444
1645870660.745486 2.141990 -0.094957 -0.095977 -0.009453 0.030439 -0.011045 0.999431
1645870660.846180 2.211244 -0.102320 -0.111221 -0.009779 0.029437 -0.013063 0.999433
1645870660.946805 2.287315 -0.108215 -0.117116 -0.009214 0.028748 -0.014530 0.999439
1645870661.057580 2.367166 -0.110072 -0.125552 -0.011229 0.028819 -0.016540 0.999385
1645870661.077686 2.438015 -0.118372 -0.133586 -0.010828 0.028328 -0.018522 0.999368
1645870661.158276 2.514992 -0.142012 -0.147385 -0.012692 0.029077 -0.019830 0.999300
1645870661.248761 2.600459 -0.136875 -0.139309 -0.012084 0.027879 -0.021081 0.999316
1645870661.349582 2.683914 -0.133940 -0.141642 -0.013329 0.028413 -0.023182 0.999239
1645870661.450278 2.765745 -0.133234 -0.147926 -0.014462 0.028781 -0.023895 0.999195
1645870661.553653 2.851532 -0.128033 -0.147141 -0.013513 0.028407 -0.026600 0.999151
1645870661.654357 2.929774 -0.130908 -0.159087 -0.014528 0.029086 -0.027052 0.999105
1645870661.754848 3.014579 -0.134461 -0.170512 -0.013912 0.029830 -0.029312 0.999028
1645870661.956201 3.090670 -0.140152 -0.189443 -0.014225 0.029277 -0.030279 0.999011
1645870662.056739 3.169008 -0.145791 -0.186975 -0.014144 0.030113 -0.031909 0.998937
1645870662.147326 3.253654 -0.147765 -0.176559 -0.015154 0.030434 -0.032982 0.998878
1645870662.251046 3.341647 -0.154235 -0.172043 -0.015074 0.030744 -0.034615 0.998814
1645870662.281267 3.412466 -0.175002 -0.184285 -0.016394 0.030090 -0.034860 0.998805
1645870662.452513 3.489735 -0.196824 -0.202442 -0.015939 0.030671 -0.035977 0.998755
1645870662.563176 3.570959 -0.211077 -0.213799 -0.014991 0.029946 -0.036734 0.998764
1645870662.663903 3.644964 -0.225109 -0.221773 -0.014678 0.029780 -0.037116 0.998759
1645870662.764446 3.727221 -0.228048 -0.221252 -0.015136 0.030343 -0.037791 0.998710
1645870662.784557 3.809743 -0.240660 -0.225342 -0.015881 0.030492 -0.038024 0.998685
1645870662.945593 3.888980 -0.253051 -0.224861 -0.016086 0.030078 -0.038197 0.998688
1645870662.975826 3.969995 -0.242184 -0.232874 -0.016274 0.031287 -0.038848 0.998623
1645870663.146992 4.041922 -0.264252 -0.238176 -0.016445 0.030510 -0.039743 0.998609
1645870663.177203 4.120428 -0.274955 -0.250320 -0.015547 0.030132 -0.040225 0.998615
1645870663.351644 4.193808 -0.273730 -0.251610 -0.015684 0.030790 -0.040276 0.998591
1645870663.452459 4.265241 -0.294423 -0.250953 -0.018099 0.030614 -0.039509 0.998586
1645870663.543223 4.338266 -0.301917 -0.251226 -0.016654 0.030804 -0.038254 0.998654
1645870663.643964 4.408715 -0.302671 -0.247156 -0.016821 0.030499 -0.036748 0.998717
1645870663.744619 4.476278 -0.316555 -0.255135 -0.016676 0.031512 -0.035856 0.998721
1645870663.845314 4.546442 -0.330173 -0.256985 -0.016763 0.031621 -0.034012 0.998780
1645870663.945922 4.611486 -0.338660 -0.271615 -0.014753 0.033686 -0.032951 0.998780
1645870664.047750 4.692346 -0.324969 -0.284929 -0.016612 0.034624 -0.031987 0.998750
1645870664.148516 4.778172 -0.317846 -0.279533 -0.016210 0.031214 -0.031753 0.998877
1645870664.252800 4.840611 -0.340168 -0.289041 -0.018762 0.031766 -0.030116 0.998865
1645870664.363679 4.916847 -0.327399 -0.294884 -0.016082 0.029449 -0.027729 0.999052
1645870664.464387 4.978423 -0.347982 -0.301570 -0.016237 0.027486 -0.026443 0.999140
1645870664.564920 5.039329 -0.343027 -0.303618 -0.014163 0.027247 -0.024820 0.999220
1645870664.655557 5.105930 -0.349796 -0.297719 -0.014768 0.028227 -0.023816 0.999209
1645870664.675737 5.169235 -0.352960 -0.305894 -0.013289 0.027996 -0.022326 0.999270
1645870664.756285 5.224249 -0.370016 -0.315459 -0.013865 0.026111 -0.022960 0.999299
1645870664.947712 5.286522 -0.366826 -0.320295 -0.013284 0.028665 -0.021737 0.999264
1645870665.058337 5.360699 -0.352191 -0.310254 -0.012408 0.029576 -0.023751 0.999203
1645870665.088537 5.439978 -0.356621 -0.308075 -0.012636 0.029570 -0.025288 0.999163
1645870665.159020 5.518815 -0.368127 -0.329125 -0.012696 0.029509 -0.026735 0.999126
1645870665.352317 5.598858 -0.372674 -0.338269 -0.011925 0.029323 -0.030201 0.999042
1645870665.382561 5.670750 -0.397046 -0.360495 -0.011554 0.028129 -0.032975 0.998993
1645870665.453093 5.742504 -0.398448 -0.355967 -0.011556 0.028776 -0.035581 0.998886
1645870665.553835 5.827622 -0.396415 -0.355811 -0.010521 0.028169 -0.038191 0.998818
1645870665.745066 5.905953 -0.397128 -0.350836 -0.010595 0.027272 -0.038724 0.998822
1645870665.775232 5.992992 -0.392053 -0.358175 -0.010172 0.027068 -0.038956 0.998822
