# timestamp tx ty tz qx qy qz qw
1645868413.52851009 0.00000000 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 1.00000000
1645868426.19466710 1.99947676 0.17752607 -0.06850498 0.00630465 -0.00028487 0.11172235 0.99371942
1645868432.69254303 3.94387312 0.75550821 -0.15790462 0.00518854 0.00037819 0.14920752 0.98879222
1645868438.45106411 5.83841669 1.40681429 -0.22925444 0.00436653 0.00041504 0.16739964 0.98587936
1645868444.12191296 7.69495558 2.15470201 -0.29878377 0.00818204 0.00000833 0.18367835 0.98295235
1645868448.95332599 9.55703411 2.91229718 -0.41700626 0.00469699 -0.00263809 0.16604696 0.98610313
1645868453.85993195 11.41575754 3.66726974 -0.49328553 0.00495366 -0.00140203 0.22684902 0.97391633
1645868459.19181490 13.18638325 4.65624151 -0.57455094 0.00362205 -0.00063663 0.28146925 0.95956320
1645868464.70017099 14.97519771 5.56278704 -0.67792724 -0.00025583 -0.00150415 0.15738115 0.98753676
1645868469.52363205 16.89136149 6.13841160 -0.77040007 -0.00136126 -0.00245495 0.11968134 0.99280839
1645868474.19205594 18.83547062 6.64383547 -0.82396149 -0.00315865 -0.00486910 -0.00305230 0.99997850
1645868478.78387690 20.85683108 6.70297762 -0.87465489 -0.00383131 -0.00623930 -0.03356331 0.99940977
1645868482.18486691 22.87449596 6.71702242 -1.02291118 -0.00537839 -0.00508576 -0.05469518 0.99847566
1645868485.01810098 24.90540185 6.59048212 -1.09409208 -0.00216161 -0.00560548 -0.03147411 0.99948651
1645868488.35504198 26.93848433 6.59952984 -1.17457057 0.00336106 -0.00748643 -0.01725498 0.99981744
1645868491.95699310 28.97238493 6.55412356 -1.21447393 0.00303442 -0.00814998 -0.03551797 0.99933120
1645868495.52004004 30.99714008 6.32523113 -1.26322058 0.00472042 -0.00789771 -0.02366208 0.99967767
1645868499.01682091 32.99656186 6.28868056 -1.33652911 0.00530835 -0.00671826 0.02270064 0.99970564
1645868502.62300396 35.04700368 6.33978109 -1.30546933 -0.00002037 -0.00542948 0.00035949 0.99998520
1645868506.18683100 37.07145112 6.36215491 -1.50592101 -0.00133852 -0.00730576 -0.01444708 0.99986805
1645868509.45850611 39.08776099 6.32466199 -1.55344904 0.00093860 -0.00750203 -0.02271497 0.99971339
1645868512.18502593 41.11720653 6.27479925 -1.62485700 0.00297242 -0.00804044 -0.04526348 0.99893830
1645868514.94812298 43.15417022 6.22372411 -1.69906694 0.00495432 -0.00900070 -0.05221099 0.99858322
1645868517.35190511 45.18970688 5.97167027 -1.73631239 0.00311271 -0.00741684 -0.11611982 0.99320264
1645868519.95750999 47.14909319 5.49849471 -1.82617231 0.00424419 -0.00819380 -0.13899174 0.99025055
1645868523.01661205 49.09797042 5.00979868 -1.92446811 0.00364137 -0.00769410 -0.11458195 0.99337733
1645868525.94167590 51.09069440 4.71450350 -1.97917711 0.00305972 -0.00680257 -0.07099993 0.99744843
1645868528.60614610 53.10034543 4.41344338 -2.02833199 0.00230125 -0.00560159 -0.05996629 0.99818203
1645868532.10555911 55.11596599 4.21213016 -2.10921573 0.00420461 -0.00657396 -0.04073493 0.99913951
1645868534.84742808 57.16030652 4.05061829 -2.16112619 0.00346179 -0.00547200 -0.02945364 0.99954517
1645868537.43468690 59.15949713 3.92330116 -2.20858754 0.00377887 -0.00499197 -0.02047380 0.99977079
1645868540.67912698 61.16998199 3.92777336 -2.27050819 0.00528761 -0.00508303 0.03937803 0.99919747
1645868543.51474905 63.17230126 4.00128417 -2.35317837 0.00312732 -0.00714068 -0.00034531 0.99996956
1645868546.34319210 65.21065810 3.99854769 -2.39883423 0.00472207 -0.00788728 0.01130430 0.99989385
