# timestamp tx ty tz qx qy qz qw
1652439548.74601889 -0.00000000 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 1.00000000
1652439558.41129994 2.00225109 -0.04698178 -0.11395615 -0.00367142 -0.00035210 -0.01658048 0.99985573
1652439562.41027188 4.01227226 -0.08332425 -0.19532720 -0.00667497 -0.00025491 -0.02065030 0.99976444
1652439566.63126493 6.04591844 -0.11172256 -0.29616864 -0.00159116 -0.00119958 -0.01903788 0.99981678
1652439570.79813504 8.06580606 -0.12971726 -0.38405688 -0.00145441 -0.00131844 -0.02200626 0.99975591
1652439574.96215701 10.09096623 -0.19586459 -0.48265187 -0.00127379 -0.00167002 -0.03501142 0.99938471
1652439578.96155596 12.09178105 -0.27845657 -0.58635181 0.00063695 -0.00175562 -0.02797865 0.99960678
1652439582.63141394 14.11584434 -0.30881847 -0.65487269 -0.00119173 -0.00084525 -0.01495061 0.99988717
1652439586.29530907 16.12744091 -0.36933004 -0.74828707 -0.00090595 -0.00110143 -0.04944646 0.99877576
1652439589.73553491 18.16485537 -0.47169372 -0.84544954 0.00204544 -0.00084020 0.00093550 0.99999712
1652439593.12965703 20.17293608 -0.47641095 -0.92682194 0.00246203 -0.00077114 -0.01303330 0.99991173
1652439596.73968196 22.19018312 -0.52260926 -0.99431333 -0.00123836 -0.00103663 -0.02112293 0.99977558
1652439600.12874699 24.21450912 -0.55575862 -1.07129306 -0.00093187 -0.00048001 -0.02439706 0.99970180
1652439603.74537706 26.24778962 -0.57515828 -1.16906927 0.00316107 -0.00086098 -0.00560312 0.99997894
1652439607.24694705 28.28555112 -0.57622457 -1.23926862 0.00374591 -0.00139395 -0.02009755 0.99979003
1652439610.76001000 30.30330327 -0.54890815 -1.31681686 0.00212196 0.00071102 0.00595280 0.99997978
1652439614.46739793 32.32778432 -0.51314548 -1.40215123 0.00448242 0.00016138 -0.00106907 0.99998937
1652439618.08720207 34.36389945 -0.50559518 -1.50337638 0.00366940 -0.00131043 -0.02351696 0.99971585
1652439621.63184810 36.40253384 -0.53276330 -1.60487725 0.00386477 -0.00061738 -0.00966542 0.99994563
1652439625.13177705 38.44103972 -0.54906486 -1.68571006 0.00575279 -0.00064360 -0.00829176 0.99994887
1652439628.79899406 40.46834192 -0.54676856 -1.77945981 0.00398053 -0.00195400 -0.00499603 0.99997769
1652439632.57873011 42.49650204 -0.52654758 -1.86350126 0.00664611 -0.00150413 -0.00820707 0.99994310
1652439636.58072495 44.53421462 -0.55398797 -1.95361141 0.00415579 -0.00064434 -0.01864825 0.99981726
1652439640.46329308 46.56756582 -0.57320262 -2.05028536 0.00683527 -0.00046970 -0.00094883 0.99997608
1652439644.41999888 48.60642267 -0.52854772 -2.16207826 0.00644670 -0.00142288 0.00149906 0.99997708
1652439647.75131989 50.60555453 -0.48186357 -2.24571076 0.00650158 -0.00165201 0.01112971 0.99991556
1652439651.41944194 52.62661236 -0.46795376 -2.32863030 0.00455503 -0.00237880 -0.02352630 0.99971001
