# timestamp tx ty tz qx qy qz qw
1654229295.28432488 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 1.00000000
1654229305.27811003 2.18474180 0.03607739 -0.02493459 0.00114965 -0.00064227 0.00133914 0.99999824
1654229306.10679412 4.38786965 0.09461295 -0.11873705 0.00155184 -0.00071533 0.00088301 0.99999815
1654229306.77365804 6.49870786 0.17352282 -0.21761713 0.00129166 -0.00100894 -0.00043820 0.99999856
1654229307.35110903 8.65618639 0.21752929 -0.31531515 0.00136129 -0.00135279 -0.00417170 0.99998946
1654229307.94317293 10.83441565 0.23559696 -0.39786390 0.00171535 -0.00180499 -0.00911414 0.99995537
1654229308.44235492 12.88769547 0.23432122 -0.48768217 0.00244263 -0.00248391 -0.01158360 0.99992684
1654229308.93900895 15.01393852 0.23140379 -0.57062847 0.00212533 -0.00263233 -0.01389602 0.99989772
1654229309.43628812 17.10484083 0.20915365 -0.65303991 0.00022259 -0.00356990 -0.01551592 0.99987322
1654229309.93520188 19.25419764 0.18346677 -0.73481709 0.00045178 -0.00349835 -0.01740207 0.99984235
1654229310.43455100 21.45681824 0.14399956 -0.81405512 -0.00100318 -0.00359243 -0.01976659 0.99979766
1654229310.93770909 23.72818027 0.09688103 -0.90325881 -0.00081758 -0.00363134 -0.02266203 0.99973625
1654229311.43603206 25.99684470 0.03517907 -0.98348530 -0.00142884 -0.00377030 -0.02490998 0.99968157
1654229311.93643093 28.31239128 -0.02765013 -1.07451899 -0.00149665 -0.00395536 -0.02665754 0.99963568
1654229312.43642902 30.66271406 -0.10620773 -1.15848931 -0.00144585 -0.00402190 -0.02762776 0.99960914
1654229312.93753099 33.04904473 -0.19718382 -1.22991178 0.00027740 -0.00415837 -0.02833336 0.99958984
1654229313.43605804 35.48542584 -0.29021479 -1.31625909 0.00015240 -0.00432485 -0.02914308 0.99956588
1654229313.85184693 37.54988903 -0.36929518 -1.39529263 0.00055224 -0.00457852 -0.02978937 0.99954556
1654229314.26751089 39.63317020 -0.45014230 -1.46121373 0.00039340 -0.00447445 -0.03083805 0.99951430
1654229314.68431401 41.75037223 -0.54075748 -1.53691064 0.00034393 -0.00448328 -0.03240020 0.99946486
1654229315.09994888 43.86345064 -0.64007188 -1.60155325 0.00028361 -0.00452476 -0.03386315 0.99941620
1654229315.51415896 46.00239389 -0.74554353 -1.66524721 0.00024789 -0.00459771 -0.03495125 0.99937841
1654229315.93283796 48.14558180 -0.85876603 -1.71940533 0.00012587 -0.00466338 -0.03618640 0.99933417
1654229316.35018897 50.31439806 -0.98057712 -1.79006918 -0.00002310 -0.00475059 -0.03648863 0.99932278
1654229316.76465511 52.51948027 -1.09948494 -1.87648397 0.00010675 -0.00536994 -0.03650971 0.99931886
1654229317.18316102 54.73327021 -1.21342330 -1.95844412 0.00052487 -0.00589612 -0.03803799 0.99925876
1654229317.60465288 56.96009021 -1.32870662 -2.01831133 0.00007156 -0.00644841 -0.04103527 0.99913689
1654229318.01967001 59.20531359 -1.46684469 -2.09180353 0.00049492 -0.00690794 -0.04414115 0.99900130
1654229318.43727803 61.45893669 -1.62004810 -2.15713222 0.00080846 -0.00747261 -0.04570919 0.99892651
1654229318.85287809 63.70794830 -1.78217464 -2.22644901 0.00116399 -0.00778430 -0.04747488 0.99884142
1654229319.27020502 65.94562060 -1.95971001 -2.28892603 0.00153013 -0.00829204 -0.04935203 0.99874585
1654229319.68768597 68.20656266 -2.14301228 -2.35600701 0.00207073 -0.00888115 -0.05133987 0.99863960
