# timestamp tx ty tz qx qy qz qw
1654229295.45149398 0.00000000 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 1.00000000
1654229305.27811003 2.16545704 0.03081803 -0.01663019 0.00092638 -0.00018682 0.00145720 0.99999849
1654229306.10679412 4.38227383 0.07885250 -0.11168564 0.00132142 -0.00039563 0.00114682 0.99999839
1654229306.77365804 6.47703076 0.16648260 -0.20883441 0.00109902 -0.00062174 -0.00024555 0.99999917
1654229307.35110903 8.63441496 0.21128367 -0.30821955 0.00116727 -0.00096630 -0.00397902 0.99999094
1654229307.94317293 10.81257162 0.23015978 -0.39246149 0.00151951 -0.00141940 -0.00892151 0.99995804
1654229308.44235492 12.86578078 0.22964147 -0.48386877 0.00224597 -0.00209867 -0.01139113 0.99993039
1654229308.93900895 14.99195905 0.22751228 -0.56845993 0.00192781 -0.00224760 -0.01370340 0.99990172
1654229309.43628812 17.08280450 0.20603695 -0.65248143 0.00002463 -0.00318586 -0.01532239 0.99987753
1654229309.93520188 19.23210622 0.18114768 -0.73591259 0.00025308 -0.00311464 -0.01720865 0.99984704
1654229310.43455100 21.43467898 0.14249960 -0.81684054 -0.00120277 -0.00320948 -0.01957259 0.99980256
1654229310.93770909 23.70598834 0.09622288 -0.90778441 -0.00101827 -0.00324893 -0.02246810 0.99974176
1654229311.43603206 25.97461269 0.03536516 -0.98974337 -0.00163036 -0.00338846 -0.02471581 0.99968745
1654229311.93643093 28.29011122 -0.02660589 -1.08254539 -0.00169881 -0.00357389 -0.02646331 0.99964195
1654229312.43642902 30.64039746 -0.10428919 -1.16830491 -0.00164836 -0.00364062 -0.02743354 0.99961564
1654229312.93753099 33.02670607 -0.19437226 -1.24153968 0.00007464 -0.00377690 -0.02813978 0.99959686
1654229313.43605804 35.46305432 -0.28649665 -1.32973722 -0.00005063 -0.00394357 -0.02894943 0.99957310
1654229313.85184693 37.52748523 -0.36481111 -1.41033847 0.00034901 -0.00419729 -0.02959583 0.99955307
1654229314.26751089 39.61074492 -0.44487999 -1.47784116 0.00018975 -0.00409347 -0.03064448 0.99952195
1654229314.68431401 41.72792166 -0.53470761 -1.55514216 0.00013968 -0.00410263 -0.03220662 0.99947280
1654229315.09994888 43.84098669 -0.63323178 -1.62138231 0.00007882 -0.00414442 -0.03366954 0.99942442
1654229315.51415896 45.97991966 -0.73790285 -1.68669147 0.00004270 -0.00421760 -0.03475762 0.99938687
1654229315.93283796 48.12310765 -0.85031946 -1.74246509 -0.00007978 -0.00428355 -0.03599272 0.99934287
1654229316.35018897 50.29191452 -0.97132113 -1.81476097 -0.00022884 -0.00437085 -0.03629487 0.99933154
1654229316.76465511 52.49697399 -1.08941162 -1.90283697 -0.00009888 -0.00499019 -0.03631589 0.99932790
1654229317.18316102 54.71074271 -1.20252757 -1.98646699 0.00031876 -0.00551660 -0.03784424 0.99926837
1654229317.60465288 56.93755911 -1.31697494 -2.04801365 -0.00013558 -0.00606960 -0.04084126 0.99914720
1654229318.01967001 59.18277715 -1.45427520 -2.12319074 0.00028669 -0.00652970 -0.04394724 0.99901247
1654229318.43727803 61.43640703 -1.60663442 -2.19020502 0.00059975 -0.00709464 -0.04551531 0.99893827
1654229318.85287809 63.68542579 -1.76792009 -2.26120039 0.00095467 -0.00740663 -0.04728109 0.99885371
1654229319.27020502 65.92311649 -1.94461631 -2.32534129 0.00132021 -0.00791470 -0.04915830 0.99875877
1654229319.68768597 68.18407558 -2.12707223 -2.39410192 0.00186016 -0.00850414 -0.05114625 0.99865323
1654229320.10884190 70.45659995 -2.31969731 -2.45494834 0.00257508 -0.00893811 -0.05247684 0.99857882
1654229320.52015710 72.73098086 -2.51721188 -2.51412802 0.00252399 -0.00899181 -0.05344816 0.99852695
1654229320.93891191 75.00225949 -2.71825513 -2.57089679 0.00274172 -0.00903072 -0.05419681 0.99848567
1654229321.35300112 77.29417094 -2.92175333 -2.64429771 0.00413128 -0.01008163 -0.05608408 0.99836660
1654229321.77078700 79.58404749 -3.13231704 -2.71011120 0.00617402 -0.01157391 -0.05884246 0.99818109
1654229322.18637300 81.88107506 -3.35883947 -2.76131418 0.00654449 -0.01206017 -0.06210824 0.99797509
1654229322.60139704 84.16114110 -3.59881812 -2.81005989 0.00699802 -0.01250314 -0.06403800 0.99784459
1654229323.02081609 86.46504616 -3.84675970 -2.84937098 0.00679550 -0.01175838 -0.06683410 0.99767167
1654229323.43837190 88.74719017 -4.11454155 -2.90239109 0.00716779 -0.01204360 -0.06902146 0.99751672
1654229323.85204601 91.04223876 -4.39028984 -2.95011009 0.00735668 -0.01244240 -0.07142992 0.99734088
1654229324.26591301 93.34817778 -4.68272280 -2.99453618 0.00776259 -0.01298465 -0.07341231 0.99718693
1654229324.68747306 95.66066632 -4.98332985 -3.03330334 0.00749135 -0.01291839 -0.07588289 0.99700491
