# timestamp tx ty tz qx qy qz qw
1645870651.93049002 0.00000000 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 1.00000000
1645870660.51657104 1.98610618 0.15804603 -0.23645749 0.00313647 0.00170521 -0.00787998 0.99996258
1645870663.01913095 3.98843944 0.11313886 -0.32454221 0.00110948 0.00092542 -0.03742497 0.99929840
1645870665.84859204 6.00624627 0.03897214 -0.43580289 0.00345346 0.00083223 -0.03636367 0.99933231
1645870668.09378505 8.06571428 -0.06079042 -0.53022119 0.00378543 0.00124165 -0.05879564 0.99826209
1645870670.75791192 10.05688490 -0.23309059 -0.61358260 0.00145418 0.00098402 -0.05549289 0.99845754
1645870673.43077993 12.07850726 -0.33045714 -0.70166352 0.00343717 0.00243323 -0.00831045 0.99995660
1645870675.92339110 14.10891390 -0.34813497 -0.80016588 0.00282399 0.00226155 -0.02149041 0.99976251
1645870678.36109090 16.17488069 -0.41410494 -0.90398500 0.00412252 0.00198467 -0.02561363 0.99966145
1645870680.85151696 18.22064339 -0.41419208 -0.96867761 -0.00024465 0.00442284 0.00774806 0.99996017
1645870683.25688004 20.26141137 -0.38220881 -1.04920393 -0.00449634 0.00471703 -0.01419985 0.99987794
1645870685.59211206 22.26821538 -0.43275156 -1.11670260 -0.00987295 0.00463737 -0.03282691 0.99940153
1645870688.85703492 24.27033144 -0.50117377 -1.23457671 -0.00512285 0.00589387 0.00216681 0.99996716
1645870691.08829999 26.29041605 -0.44286669 -1.34652128 -0.00675914 0.00574663 -0.00574272 0.99994415
1645870693.42403889 28.34951255 -0.47719036 -1.46430151 -0.00563702 0.00551448 -0.01258562 0.99988970
1645870695.92081094 30.38327637 -0.47921914 -1.59373525 -0.00362936 0.00504470 -0.00727876 0.99995420
1645870698.18723011 32.40896648 -0.50327808 -1.69174460 -0.00528907 0.00526395 -0.03098997 0.99949184
1645870700.41788101 34.47053773 -0.56665765 -1.79317527 -0.00576346 0.00587188 -0.02108390 0.99974385
1645870703.08540297 36.50238056 -0.58085155 -1.88073527 -0.00992503 0.00619559 -0.02380112 0.99964825
1645870707.08357596 38.52917675 -0.63410028 -1.99873440 -0.00560925 0.00620199 -0.02769715 0.99958138
1645870709.58344412 40.56264650 -0.72931078 -2.09444714 -0.00663798 0.00632043 -0.03054005 0.99949152
1645870712.08379602 42.65933063 -0.76239416 -2.21242522 -0.00606634 0.00599619 -0.02586123 0.99962915
