# timestamp tx ty tz qx qy qz qw
1654231599.70560503 -0.00000000 -0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 1.00000000
1654231610.03380609 2.14386377 0.04282647 -0.07831213 -0.00007932 -0.00083338 -0.00946106 0.99995489
1654231610.98002005 4.22327724 0.04677432 -0.14501724 -0.00314767 -0.00054203 -0.02604049 0.99965579
1654231611.70536900 6.34154690 -0.03886673 -0.26855066 -0.00136747 -0.00171735 -0.04778542 0.99885521
1654231612.37166190 8.52719140 -0.24984149 -0.30230627 -0.00364184 -0.00168647 -0.07300072 0.99732381
1654231612.97529292 10.53366614 -0.52987958 -0.38109865 -0.00371671 -0.00205701 -0.09652380 0.99532161
1654231613.64143205 12.72354257 -0.93601805 -0.48447007 -0.00445284 -0.00263741 -0.11523442 0.99332484
1654231614.19929290 14.71060213 -1.37770285 -0.56018607 -0.00483192 -0.00276408 -0.12348726 0.99233054
1654231614.80213904 16.80874165 -1.87844893 -0.65243639 -0.00564294 -0.00337368 -0.13394994 0.99096629
1654231615.36603689 18.84004736 -2.41041781 -0.70998794 -0.00675264 -0.00306301 -0.13883648 0.99028756
1654231616.03264904 20.99711642 -2.97761360 -0.76544450 -0.00761722 -0.00259477 -0.13355303 0.99100900
1654231616.70262504 23.13585351 -3.50927430 -0.85727344 -0.00649382 -0.00264299 -0.12488412 0.99214656
1654231617.36385393 25.21845703 -4.01723899 -0.85630701 -0.00735583 -0.00161122 -0.11357120 0.99350132
1654231618.03085089 27.20884139 -4.43762175 -0.89919531 -0.00865217 -0.00166501 -0.10008012 0.99494037
1654231618.69449711 29.25674317 -4.79481517 -0.93723578 -0.00786489 -0.00071354 -0.07621006 0.99706051
1654231619.36026597 31.44985512 -5.03679266 -1.01407299 -0.00659934 0.00148356 -0.03315186 0.99942744
1654231620.02782011 33.70556697 -5.07297199 -1.11991941 -0.00387027 0.00326723 0.02558042 0.99965994
1654231620.69556189 35.97982169 -4.82253898 -1.22952628 0.00079608 0.00458091 0.09658060 0.99531431
1654231621.29310799 37.97578561 -4.31392981 -1.33127439 0.00436398 0.00632437 0.15617173 0.98770003
1654231621.86088800 39.96964323 -3.54730985 -1.44017208 0.00697655 0.00838157 0.21338962 0.97690631
1654231622.45936108 41.90551029 -2.53089591 -1.56246966 0.01130827 0.00862584 0.26754558 0.96344023
1654231623.02547789 43.81659917 -1.24779518 -1.66332694 0.01686770 0.00966302 0.31971207 0.94731531
1654231623.52978301 45.37646235 0.06226635 -1.77126309 0.02017773 0.01004870 0.36528604 0.93062237
1654231624.03124595 46.83691311 1.56232178 -1.86747973 0.02290084 0.01078342 0.41003687 0.91171763
1654231624.53111196 48.15848496 3.21876851 -1.96651851 0.02492499 0.01110199 0.45205548 0.89157239
1654231625.03126907 49.31413838 4.96772163 -2.06048354 0.02935132 0.01086629 0.49350040 0.86918225
1654231625.53758502 50.30042804 6.81451357 -2.09141906 0.03385511 0.01206103 0.53256718 0.84562436
1654231626.03353190 51.09114330 8.71092289 -2.12660207 0.03734440 0.01294426 0.56967313 0.82092044
1654231626.53275704 51.72232013 10.63839955 -2.14802277 0.03982873 0.01359634 0.60381092 0.79601582
1654231627.13555288 52.22706159 12.88006026 -2.17117361 0.03934119 0.01348588 0.63961029 0.76757350
1654231627.70171595 52.51261730 15.07090434 -2.19369579 0.04145979 0.01392633 0.67093666 0.74022371
1654231628.30021596 52.63300119 17.20449058 -2.19489736 0.04342503 0.01476234 0.69354041 0.71895622
1654231628.87187290 52.62542410 19.33735883 -2.18548730 0.04583879 0.01579711 0.71556728 0.69685918
1654231629.47267389 52.48526802 21.44317721 -2.18111174 0.04792931 0.01622799 0.73692490 0.67407798
1654231630.03558707 52.22755268 23.46673360 -2.16454750 0.05005366 0.01691538 0.75251411 0.65645336
1654231630.70472407 51.85545671 25.62085805 -2.15411488 0.05241927 0.01708083 0.76163191 0.64566036
1654231631.36770701 51.42755291 27.81232066 -2.11297705 0.05321150 0.01782502 0.76620909 0.64013627
1654231632.03827810 51.00663628 29.91896947 -2.07404394 0.05363001 0.01789186 0.77099799 0.63432311
1654231632.70500708 50.55081717 32.04022172 -2.04244168 0.05449708 0.01754363 0.77395638 0.63064555
1654231633.37343502 50.06402208 34.17120603 -1.99621093 0.05502329 0.01785757 0.77595606 0.62812876
1654231634.04130101 49.56135149 36.34982328 -1.96410644 0.05557667 0.01745552 0.77553731 0.62860832
1654231634.70784497 49.07507876 38.48586494 -1.93736633 0.05527459 0.01457387 0.77524254 0.62907180
1654231635.32866502 48.62347985 40.55104854 -1.89012432 0.05465741 0.01370365 0.77655120 0.62752929
1654231635.87110710 48.09929098 42.80254472 -1.84685110 0.05413094 0.01344067 0.77615753 0.62806741
1654231636.37335205 47.61003514 44.88775546 -1.76325552 0.05195956 0.01026054 0.77560516 0.62899250
1654231636.87215805 47.08949912 47.14754522 -1.67994547 0.05041585 0.00807389 0.77521099 0.62963558
1654231637.37165999 46.55843468 49.43366356 -1.60708158 0.04957511 0.00702623 0.77421811 0.63093523
1654231637.87246108 46.03702612 51.72938279 -1.55073611 0.04959789 0.00703218 0.77309327 0.63231115
1654231638.37134790 45.52571971 54.00940150 -1.50709793 0.05024064 0.00672604 0.77275944 0.63267170
1654231638.87486911 45.00725320 56.31598204 -1.45264751 0.05052576 0.00597023 0.77232299 0.63318932
