# timestamp tx ty tz qx qy qz qw
1645870652.02939391 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 1.00000000
1645870660.51657104 1.98654813 0.15326484 -0.23397096 0.00341326 0.00172064 -0.00780032 0.99996227
1645870663.01913095 3.98888649 0.10872377 -0.32213254 0.00138575 0.00094887 -0.03734556 0.99930100
1645870665.84859204 6.00670246 0.03493845 -0.43348668 0.00372977 0.00085557 -0.03628431 0.99933418
1645870668.09378505 8.06618410 -0.06444545 -0.52801370 0.00406112 0.00127122 -0.05871626 0.99826564
1645870670.75791192 10.05738012 -0.23638393 -0.61152227 0.00172999 0.00101249 -0.05541354 0.99846148
1645870673.43077993 12.07901590 -0.33338134 -0.69970961 0.00371389 0.00244881 -0.00823059 0.99995623
1645870675.92339110 14.10942305 -0.35068283 -0.79827447 0.00310050 0.00228073 -0.02141061 0.99976336
1645870678.36109090 16.17539788 -0.41626790 -0.90218376 0.00439897 0.00200509 -0.02553393 0.99966227
1645870680.85151696 18.22115918 -0.41599502 -0.96692953 0.00003213 0.00443368 0.00782852 0.99995953
1645870683.25688004 20.26192028 -0.38364373 -1.04749110 -0.00421990 0.00473362 -0.01411926 0.99988021
1645870685.59211206 22.26873083 -0.43383108 -1.11506987 -0.00959688 0.00465867 -0.03274632 0.99940676
1645870688.85703492 24.27085493 -0.50187072 -1.23303385 -0.00484627 0.00590587 0.00224773 0.99996829
1645870691.08829999 26.29092766 -0.44318149 -1.34499854 -0.00648265 0.00576069 -0.00566181 0.99994637
1645870693.42403889 28.35002682 -0.47711360 -1.46285123 -0.00536062 0.00553052 -0.01250480 0.99989215
1645870695.92081094 30.38378788 -0.47874838 -1.59233887 -0.00335283 0.00505943 -0.00719809 0.99995567
1645870698.18723011 32.40947952 -0.50243201 -1.69041413 -0.00501300 0.00528511 -0.03090926 0.99949565
1645870700.41788101 34.47105846 -0.56542871 -1.79193342 -0.00548724 0.00589026 -0.02100300 0.99974700
